StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q1.1,Q22_First Click,Q22_Last Click,Q22_Page Submit,Q22_Click Count,Q1.2,Q1.2_DO,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,Q2.1,Q2.2,Q2.3,Q2.4,Q3_0_GROUP,Q3_0_1_RANK,Q3_0_2_RANK,Q3_0_3_RANK,Q3_0_4_RANK,Q4_0_GROUP,Q4_0_1_RANK,Q4_0_2_RANK,Q4_0_3_RANK,Q4_0_4_RANK,Q5_0_GROUP,Q5_0_1_RANK,Q5_0_2_RANK,Q5_0_3_RANK,Q5_0_4_RANK,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Random ID,FL_10_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you agree to participate in this study?,"We use cookies



We use cookies and other tracking technologies to improve your browsing experience on our website, to show you personalized content and targeted ads, to analyze our website traffic, and to understand where our visitors are coming from.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"We use cookies



We use cookies and other tracking technologies to improve your browsing experience on our website, to show you personalized content and targeted ads, to analyze our website traffic, and to understand where our visitors are coming from.","We use cookies



We use cookies and other tracking technologies to improve your browsing experience on our website, to show you personalized content and targeted ads, to analyze our website traffic, and to understand where our visitors are coming from. - Display Order",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Strictly Necessary.



Cookies related to user account login or other strictly necessary cookies that your website cannot run without.","Functionality.



Cookies related to user account login or other strictly necessary cookies that your website cannot run without.","Tracking and Performance.



Cookies that are used by tracking or performance tools, such as Google Analytics or live chat.","Targeting and Advertising.



Cookies that are used by advertising services, such as Google Ads or any remarketing service.",Please select (drag and drop) the types of items you would like to see in the next page (clothes) - Groups - I would like to see these items,Please select (drag and drop) the types of items you would like to see in the next page (clothes) - Ranks - I would like to see these items - Underwear - Rank,Please select (drag and drop) the types of items you would like to see in the next page (clothes) - Ranks - I would like to see these items - Jackets - Rank,Please select (drag and drop) the types of items you would like to see in the next page (clothes) - Ranks - I would like to see these items - Pants - Rank,Please select (drag and drop) the types of items you would like to see in the next page (clothes) - Ranks - I would like to see these items - Shirts - Rank,Please select (drag and drop) the types of items you would like to see in the next page (books) - Groups - I would like to see these items,Please select (drag and drop) the types of items you would like to see in the next page (books) - Ranks - I would like to see these items - Non-fiction book - Rank,Please select (drag and drop) the types of items you would like to see in the next page (books) - Ranks - I would like to see these items - Erotic book - Rank,Please select (drag and drop) the types of items you would like to see in the next page (books) - Ranks - I would like to see these items - Historic novels - Rank,Please select (drag and drop) the types of items you would like to see in the next page (books) - Ranks - I would like to see these items - Other books - Rank,Please select (drag and drop) the types of items you would like to see in the next page (self-care products) - Groups - I would like to see these items,Please select (drag and drop) the types of items you would like to see in the next page (self-care products) - Ranks - I would like to see these items - Facial cream - Rank,Please select (drag and drop) the types of items you would like to see in the next page (self-care products) - Ranks - I would like to see these items - Perfums - Rank,Please select (drag and drop) the types of items you would like to see in the next page (self-care products) - Ranks - I would like to see these items - Weight management pills - Rank,Please select (drag and drop) the types of items you would like to see in the next page (self-care products) - Ranks - I would like to see these items - Other creams - Rank,Would you like to receive personalized promotions and/or offers regarding the list of items you just marked?,What is your attitude towards receiving personalized promotions and offers based on your browsing behavior?,What is your opinion on collecting information about people’s browsing behavior to advertise products people may be more interested in?,"Cookies are pieces of information saved about you when you’re online, and they track you as you browse",Were you asked whether you consented to use all or some cookies when you opened this website?,"What's your age? (in numbers, please)",What's your gender?,What's the highest degree you have earned?,"Approximately, how many hours a day do you usually spend using a computer?",How many years have you been using computers for?,Random ID,FL_10 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29""}","{""ImportId"":""QID2""}","{""ImportId"":""QID22_FIRST_CLICK""}","{""ImportId"":""QID22_LAST_CLICK""}","{""ImportId"":""QID22_PAGE_SUBMIT""}","{""ImportId"":""QID22_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_DO""}","{""ImportId"":""QID23_FIRST_CLICK""}","{""ImportId"":""QID23_LAST_CLICK""}","{""ImportId"":""QID23_PAGE_SUBMIT""}","{""ImportId"":""QID23_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID3_0_GROUP""}","{""ImportId"":""QID3_G0_1_RANK""}","{""ImportId"":""QID3_G0_2_RANK""}","{""ImportId"":""QID3_G0_3_RANK""}","{""ImportId"":""QID3_G0_4_RANK""}","{""ImportId"":""QID6_0_GROUP""}","{""ImportId"":""QID6_G0_1_RANK""}","{""ImportId"":""QID6_G0_2_RANK""}","{""ImportId"":""QID6_G0_3_RANK""}","{""ImportId"":""QID6_G0_4_RANK""}","{""ImportId"":""QID7_0_GROUP""}","{""ImportId"":""QID7_G0_1_RANK""}","{""ImportId"":""QID7_G0_2_RANK""}","{""ImportId"":""QID7_G0_3_RANK""}","{""ImportId"":""QID7_G0_4_RANK""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""Random ID""}","{""ImportId"":""FL_10_DO""}"
2021-06-10 13:50:26,2021-06-10 13:51:38,IP Address,71.197.163.99,100,71,True,2021-06-10 13:51:39,R_12l1OTVEpWmqQkw,,,,,47.6721954345703125,-122.125701904296875,anonymous,EN,Yes,,,,,,Accept all cookies,Accept all cookies|More information,1.141,1.141,2.059,1,,,,,"Jackets,Pants,Underwear,Shirts",3,1,2,4,"Non-fiction book,Historic novels,Other books,Erotic book",1,4,2,3,"Weight management pills,Other creams,Facial cream,Perfums",3,4,1,2,Probably yes,Like somewhat,Like a great deal,True,Yes,47,Male,Graduate degree,Between 2 and 4 hours,3-4,7014,Block6
2021-06-10 13:50:27,2021-06-10 13:51:52,IP Address,212.162.150.213,100,85,True,2021-06-10 13:51:52,R_1ZdA2xb7tuatXfH,,,,,41.8777008056640625,-87.637603759765625,anonymous,EN,Yes,,,,,,Accept all cookies,Accept all cookies|More information,2.302,2.302,3.647,1,,,,,"Underwear,Shirts,Pants,Jackets",1,4,3,2,"Non-fiction book,Other books,Historic novels,Erotic book",1,4,3,2,"Weight management pills,Other creams,Facial cream,Perfums",3,4,1,2,Probably yes,Like somewhat,Like a great deal,True,Yes,35,Male,4 year degree,Between 2 and 4 hours,3-4,280,Block6
2021-06-10 13:50:45,2021-06-10 13:52:02,IP Address,24.190.97.29,100,77,True,2021-06-10 13:52:04,R_3Pcs1jOmDNLm3lZ,,,,,40.7135009765625,-73.3545989990234375,anonymous,EN,Yes,Accept all cookies,0,0,1.474,0,,,,,,,,,,,"Jackets,Underwear,Shirts,Pants",2,1,4,3,"Non-fiction book,Historic novels,Other books,Erotic book",1,4,2,3,"Weight management pills,Other creams,Facial cream,Perfums",3,4,1,2,Probably not,Dislike somewhat,Dislike somewhat,True,Yes,29,Male,4 year degree,Between 2 and 4 hours,More than 8,5134,Block5
2021-06-10 13:50:41,2021-06-10 13:52:37,IP Address,37.120.147.169,100,115,True,2021-06-10 13:52:37,R_3JJi9mw9lKySEf1,,,,,36.1685028076171875,-115.11640167236328125,anonymous,EN,Yes,Accept all cookies,1.259,1.259,8.316,1,,,,,,,,,,,"Underwear,Pants,Shirts,Jackets",1,4,2,3,"Historic novels,Erotic book,Non-fiction book,Other books",3,2,1,4,"Weight management pills,Perfums,Facial cream,Other creams",3,2,1,4,Probably yes,Like somewhat,Dislike somewhat,True,Yes,29,Male,4 year degree,More than 8 hours,5-6,7229,Block5
2021-06-10 13:50:51,2021-06-10 13:52:39,IP Address,212.162.148.30,100,108,True,2021-06-10 13:52:40,R_3NEAU1MbMmmLPhp,,,,,41.8777008056640625,-87.637603759765625,anonymous,EN,Yes,,,,,,Accept all cookies,Accept all cookies|More information,1.832,1.832,3.165,1,,,,,"Shirts,Pants,Underwear,Jackets",3,4,2,1,"Historic novels,Non-fiction book,Other books,Erotic book",2,4,1,3,"Perfums,Facial cream,Weight management pills,Other creams",2,1,3,4,Probably yes,Like somewhat,Neither like nor dislike,Neither true nor false,Yes,28,Male,4 year degree,Between 4 and 6 hours,3-4,8407,Block6
2021-06-10 13:51:06,2021-06-10 13:52:52,IP Address,172.74.3.189,100,105,True,2021-06-10 13:52:52,R_1TwrKvBwsu34ik1,,,,,35.7801971435546875,-78.4860992431640625,anonymous,EN,Yes,Accept all cookies,0.888,0.888,3.002,1,,,,,,,,,,,"Underwear,Shirts,Jackets,Pants",1,3,4,2,"Non-fiction book,Erotic book,Historic novels,Other books",1,2,3,4,"Perfums,Other creams,Weight management pills,Facial cream",4,1,3,2,Probably yes,Like somewhat,Neither like nor dislike,False,Yes,30,Male,4 year degree,Between 4 and 6 hours,5-6,4925,Block5
2021-06-10 13:50:45,2021-06-10 13:52:52,IP Address,73.211.87.80,100,127,True,2021-06-10 13:52:53,R_1N8qoF7NAY26IE8,,,,,42.4654998779296875,-88.11620330810546875,anonymous,EN,Yes,,,,,,More information,Accept all cookies|More information,0,0,3.319,0,Yes,Yes,No,No,"Jackets,Pants,Shirts,Underwear",4,1,2,3,"Historic novels,Non-fiction book,Other books,Erotic book",2,4,1,3,"Perfums,Other creams,Facial cream,Weight management pills",3,1,4,2,Definitely not,Dislike somewhat,Dislike a great deal,True,Yes,38,Male,High school graduate,Between 4 and 6 hours,More than 8,7294,Block6
2021-06-10 13:51:20,2021-06-10 13:52:55,IP Address,196.17.65.143,100,94,True,2021-06-10 13:52:56,R_W3yY4KvmSzXUtsB,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,Yes,Accept all cookies,0.878,0.878,2.438,1,,,,,,,,,,,"Shirts,Pants,Jackets,Underwear",4,3,2,1,"Erotic book,Non-fiction book,Other books,Historic novels",2,1,4,3,"Weight management pills,Facial cream,Other creams,Perfums",2,4,1,3,Might or might not,Neither like nor dislike,Like somewhat,Neither true nor false,Yes,27,Male,Graduate degree,Between 4 and 6 hours,3-4,3453,Block5
